class_id,label,total_support,test_support,cross_domain_ratio,gcn_acc,gcn_ci_low,gcn_ci_high,gat_acc,gat_ci_low,gat_ci_high,gps_acc,gps_ci_low,gps_ci_high,gps_minus_gcn,best_model
0,cs.NA,565,54,0.7413920164108276,0.4444444477558136,0.32002257175838256,0.5762458640668344,0.4444444477558136,0.32002257175838256,0.5762458640668344,0.3888888955116272,0.27041743092008735,0.5221194407303464,-0.0555555522441864,GCN
1,cs.MM,687,187,0.7141817212104797,0.2085561454296112,0.15648279324025857,0.2723629007314676,0.24598930776119232,0.18978537815677482,0.3124195976068213,0.2192513346672058,0.16593022152514592,0.28387526724425743,0.010695189237594604,GAT
2,cs.LO,4839,733,0.3557354807853699,0.6971350908279419,0.6629132574524845,0.7293013557747856,0.727148711681366,0.6937806095056641,0.7581482871864914,0.6302865147590637,0.594745187446181,0.6644693175936912,-0.06684857606887817,GAT
3,cs.CY,2080,654,0.7460063099861145,0.24923548102378845,0.21761130579595478,0.28378843721074365,0.26758408546447754,0.23508392125308414,0.30279872980993255,0.24617737531661987,0.21470670829874333,0.28061254015580683,-0.003058105707168579,GAT
4,cs.CR,5862,1869,0.3842819333076477,0.7174959778785706,0.6966544799016294,0.7374452140127394,0.6484751105308533,0.6265446998484655,0.6697964125896229,0.6837881207466125,0.6623479011243405,0.7044743626222774,-0.03370785713195801,GCN
5,cs.DC,4958,1246,0.4965799152851105,0.5634028911590576,0.5357107494702307,0.5907052737829332,0.5056179761886597,0.47788211062400265,0.5333193061492428,0.5593900680541992,0.5316828189721857,0.5867322262551972,-0.0040128231048583984,GCN
6,cs.HC,1618,622,0.6950576305389404,0.2363343983888626,0.2046292670558398,0.2712764439032032,0.22508038580417633,0.1940038542998755,0.2595319923750584,0.24758842587471008,0.21528675227433894,0.2829888525882003,0.011254027485847473,GPS
7,cs.CE,589,134,0.6924969553947449,0.2985074520111084,0.22752360816820463,0.3807223577736958,0.2761194109916687,0.2074626230991472,0.3572551554652863,0.28358209133148193,0.21412535698046553,0.36510181737645697,-0.014925360679626465,GCN
8,cs.NI,6232,1250,0.42917460203170776,0.6096000075340271,0.58225911397044,0.636269302087113,0.5392000079154968,0.5114887402752577,0.5666710685783822,0.6096000075340271,0.58225911397044,0.636269302087113,0.0,GCN
9,cs.CC,2820,345,0.4553637206554413,0.5275362133979797,0.4748416193929156,0.5796243251635994,0.4753623306751251,0.4232265824453913,0.5280407210122133,0.4840579628944397,0.43178980116944693,0.5366772463305167,-0.04347825050354004,GCN
10,cs.AI,7869,1455,0.511734127998352,0.4618556797504425,0.43637274883516136,0.48753950323784495,0.4213058352470398,0.39617404233143527,0.44685208234782114,0.4522336721420288,0.42681854535871416,0.4779003671903275,-0.009622007608413696,GCN
11,cs.MA,750,239,0.772828221321106,0.06694560497999191,0.04162373973709812,0.10596876163184415,0.1171548143029213,0.08231045293698819,0.1641119114223159,0.10878661274909973,0.07532663944105877,0.15462408108651834,0.04184100776910782,GAT
12,cs.GL,29,5,0.9413793087005615,0.0,0.0,0.43449149475208104,0.0,0.0,0.43449149475208104,0.0,0.0,0.43449149475208104,0.0,GCN
13,cs.NE,2358,628,0.5997788906097412,0.3885350227355957,0.3512006291023102,0.42722483157629687,0.493630588054657,0.45468526541080634,0.5326533628096988,0.4904458522796631,0.45152382358083265,0.5294840595076769,0.10191082954406738,GAT
14,cs.SC,597,71,0.2506096363067627,0.7746478915214539,0.6648460525709248,0.8562545197851774,0.8450704216957092,0.7434882257517893,0.9112278663786665,0.7183098793029785,0.6045776512414027,0.809630527913278,-0.05633801221847534,GAT
15,cs.AR,403,87,0.5797134637832642,0.37931033968925476,0.2845026392492743,0.4843257290966194,0.517241358757019,0.4137493593465072,0.6192751186869194,0.4597701132297516,0.35896919555585827,0.563973593892773,0.08045977354049683,GAT
16,cs.CV,27321,10477,0.21050378680229187,0.9080843925476074,0.9024016393009314,0.9134679910007578,0.9363367557525635,0.9314997679034283,0.9408538778228095,0.9110432267189026,0.9054402256489394,0.9163449039601069,0.002958834171295166,GAT
17,cs.GR,515,203,0.7386608719825745,0.11330049484968185,0.07669376282073123,0.16427130856225378,0.15763546526432037,0.11392781249751309,0.2140603624987839,0.1428571492433548,0.1013425333370808,0.19763795507918575,0.029556654393672943,GAT
18,cs.ET,749,209,0.45435017347335815,0.4449760913848877,0.37919635416105607,0.5127420930169536,0.5693780183792114,0.5015903438192247,0.634661270914504,0.4832535982131958,0.41641938704910364,0.5506923244448706,0.038277506828308105,GAT
19,cs.SY,2877,419,0.4262546896934509,0.620525062084198,0.5731642654868488,0.6656958703809511,0.6539379358291626,0.6071745829976763,0.6979041751586598,0.5871121883392334,0.5393848139364401,0.6332566996428235,-0.0334128737449646,GAT
20,cs.CG,2076,313,0.32844364643096924,0.6549520492553711,0.6006940904995833,0.7054525229307943,0.7188498377799988,0.6666232333617258,0.7657694778551071,0.6549520492553711,0.6006940904995833,0.7054525229307943,0.0,GAT
21,cs.OH,393,51,0.8662883043289185,0.019607843831181526,0.0034696034626097924,0.10304807783736167,0.03921568766236305,0.01082085687277258,0.13216549183990228,0.0,0.0,0.07004901388726806,-0.019607843831181526,GAT
22,cs.PL,1903,386,0.468114972114563,0.41450777649879456,0.3664396016995103,0.4642608762819813,0.4455958604812622,0.39678944192498344,0.4954745039739008,0.40673574805259705,0.3588829330327747,0.4564266632150474,-0.00777202844619751,GAT
23,cs.SE,2834,808,0.3553459644317627,0.6101484894752502,0.5760735878507034,0.643180955143896,0.6893564462661743,0.6566151086531803,0.7203057305427142,0.6683168411254883,0.6351233862401421,0.6999173597117642,0.05816835165023804,GAT
24,cs.LG,22187,10740,0.44758912920951843,0.7173184156417847,0.7087254272555564,0.7257559939881758,0.6710428595542908,0.6620972345112877,0.6798661674087636,0.5916200876235962,0.5822926868425846,0.6008819685018172,-0.12569832801818848,GCN
25,cs.SD,1257,475,0.5288637280464172,0.6378947496414185,0.5937263404176124,0.6798505838916947,0.7684210538864136,0.7284221576372758,0.8041130297651824,0.7136842012405396,0.6714447152063301,0.7524950410272815,0.0757894515991211,GAT
26,cs.SI,4605,1041,0.4545361399650574,0.6685879230499268,0.6394186923528014,0.6965174493455648,0.6647454500198364,0.6355082927704327,0.6927711583361269,0.6618635654449463,0.6325768538219411,0.689960019955269,-0.006724357604980469,GCN
27,cs.RO,4801,2066,0.4265144467353821,0.6645691990852356,0.6439210862663851,0.6846064351730301,0.6442400813102722,0.6233458291233901,0.6645989179403683,0.6723136305809021,0.6517702882219634,0.6922173490737058,0.007744431495666504,GPS
28,cs.IT,21406,2849,0.13125748932361603,0.8820638656616211,0.8697025950866156,0.8933961716096906,0.8725868463516235,0.8598391467759433,0.8843311045662802,0.8827658891677856,0.8704341869481164,0.8940667360887752,0.0007020235061645508,GPS
