model,best_val_acc,test_acc,macro_per_class_acc,best_epoch,epochs_ran,final_train_acc,final_val_acc,final_train_loss
GCN,0.7285479378502634,0.720161306915211,0.48298279955051837,496,500,0.7399632334709167,0.7221383267894895,0.8436717987060547
GAT,0.7288164032350078,0.7192354381416785,0.5081378166098147,464,500,0.7291760444641113,0.7221383267894895,0.8945886492729187
GPS,0.7089499647639183,0.6926321420488447,0.4798258308786899,327,427,0.72209454481477,0.7065673344743112,0.896745791246192
